"Player","Source","Target","Weight"
"Corentin Jean","AS Monaco","FC Toulouse","3500000"
"Nabil Dirar","AS Monaco","Fenerbahce SK","3500000"
"Benjamin Lecomte","FC Lorient","HSC Montpellier","2500000"
"Giovanni Sio","Stade Rennais FC","HSC Montpellier","2200000"
"Pedro Mendes","Stade Rennais FC","HSC Montpellier","1000000"
"Steve Mounié","HSC Montpellier","Huddersfield Town","13000000"
"Lukáš Pokorný","HSC Montpellier","SK Slavia Prag","800000"
"Kalifa Coulibaly","KAA Gent","FC Nantes","4500000"
"Ciprian Tatarusanu","ACF Fiorentina","FC Nantes","2500000"
"Andrei Girotto","Tombense Futebol Clube (MG)","FC Nantes","2300000"
"Guillaume Gillet","FC Nantes","Olympiacos Piraeus","1000000"
"Rémy Riou","FC Nantes","Alanyaspor","1000000"
"Racine Coly","Brescia Calcio","OGC Nice","3500000"
"Ihsan Sacko","RC Strasbourg Alsace","OGC Nice","2000000"
"Adrien Tamèze","Valenciennes FC ","OGC Nice","800000"
"Dalbert","OGC Nice","Inter Milan","20000000"
"Valentin Eysseric","OGC Nice","ACF Fiorentina","3500000"
"Lucas Moura","Paris Saint-Germain","Tottenham Hotspur","28400000"
"Serge Aurier","Paris Saint-Germain","Tottenham Hotspur","25000000"
"Blaise Matuidi","Paris Saint-Germain","Juventus FC","20000000"
"Diafra Sakho","West Ham United","Stade Rennais FC","10000000"
"Rafik Guitane","AC Le Havre","Stade Rennais FC","8000000"
"Faitout Maouassa","AS Nancy-Lorraine","Stade Rennais FC","7000000"
"Benjamin Bourigeaud","RC Lens","Stade Rennais FC","3500000"
"Tomas Koubek","AC Sparta Praha","Stade Rennais FC","3000000"
"Brandon","RCD Mallorca","Stade Rennais FC","3000000"
"Hamari Traoré","Stade Reims","Stade Rennais FC","2400000"
"Yacouba Sylla","Stade Rennais FC","KV Mechelen","750000"
"Assane Dioussé","FC Empoli","AS Saint-Étienne","5000000"
"Gabriel Silva","Udinese Calcio","AS Saint-Étienne","2500000"
"Jorginho","FC Arouca","AS Saint-Étienne","1000000"
"Alexandros Katranis","Atromitos Athen","AS Saint-Étienne","800000"
"Bryan Dabo","AS Saint-Étienne","ACF Fiorentina","4000000"
"Neal Maupay","AS Saint-Étienne","Brentford FC","2000000"
"Fabien Lemoine","AS Saint-Étienne","FC Lorient","1000000"
"Alexander Söderlund","AS Saint-Étienne","Rosenborg BK","500000"
"Idriss Saadi","Cardiff City","RC Strasbourg Alsace","1500000"
"Bingourou Kamara","Tours FC","RC Strasbourg Alsace","700000"
"Moataz Zemzemi","Club Africain Tunis","RC Strasbourg Alsace","200000"
"Martin Braithwaite","FC Toulouse","Middlesbrough FC","11300000"
"Tongo Doumbia","FC Toulouse","GNK Dinamo Zagreb","800000"
"Aleksandar Pesic","FC Toulouse","Red Star Belgrade","750000"
"Dominik Furman","FC Toulouse","Wisla Plock","150000"
"Danny Drinkwater","Leicester City","Chelsea FC","37900000"
"Antonio Rüdiger","AS Roma","Chelsea FC","35000000"
"Davide Zappacosta","Torino FC","Chelsea FC","25000000"
"Emerson","AS Roma","Chelsea FC","20000000"
"Olivier Giroud","Arsenal FC","Chelsea FC","17000000"
"Ross Barkley","Everton FC","Chelsea FC","16900000"
"Nemanja Matic","Chelsea FC","Manchester United","44700000"
"Nathan Aké","Chelsea FC","AFC Bournemouth","22800000"
"Juan Cuadrado","Chelsea FC","Juventus FC","20000000"
"Asmir Begovic","Chelsea FC","AFC Bournemouth","11500000"
"Christian Atsu","Chelsea FC","Newcastle United","7500000"
"Nathaniel Chalobah","Chelsea FC","Watford FC","6300000"
"Davinson Sánchez","Ajax Amsterdam","Tottenham Hotspur","40000000"
"Fernando Llorente","Swansea City","Tottenham Hotspur","15100000"
"Juan Foyth","Club Estudiantes de La Plata","Tottenham Hotspur","13000000"
"Kyle Walker","Tottenham Hotspur","Manchester City","52700000"
"Kevin Wimmer","Tottenham Hotspur","Stoke City","19400000"
"Federico Fazio","Tottenham Hotspur","AS Roma","3200000"
"Ederson","SL Benfica","Manchester City","40000000"
"Douglas Luiz","Club de Regatas Vasco da Gama","Manchester City","12000000"
"Jack Harrison","New York City FC","Manchester City","4000000"
"Olarenwaju Kayode","Austria Vienna","Manchester City","3800000"
"Luka Ilic","Red Star Belgrade","Manchester City","2500000"
"Kelechi Iheanacho","Manchester City","Leicester City","27700000"
"Wilfried Bony","Manchester City","Swansea City","13000000"
"Aaron Mooy","Manchester City","Huddersfield Town","9100000"
"Fernando","Manchester City","Galatasaray SK","6000000"
"Olivier Ntcham","Manchester City","Celtic FC","5000000"
"Aleksandar Kolarov","Manchester City","AS Roma","5000000"
"Samir Nasri","Manchester City","Antalyaspor","3500000"
"Bruno Zuculini","Manchester City","Hellas Verona","1250000"
"Virgil van Dijk","Southampton FC","Liverpool FC","78800000"
"Mohamed Salah","AS Roma","Liverpool FC","42000000"
"Alex Oxlade-Chamberlain","Arsenal FC","Liverpool FC","38000000"
"Andrew Robertson","Hull City","Liverpool FC","9000000"
"Tony Gallacher","Falkirk FC","Liverpool FC","228000"
"Mamadou Sakho","Liverpool FC","Crystal Palace","28200000"
"Lucas Leiva","Liverpool FC","SS Lazio","5700000"
"Kevin Stewart","Liverpool FC","Hull City","4500000"
"Andre Wisdom","Liverpool FC","Derby County","2300000"
"Konstantinos Mavropanos","PAS Giannina","Arsenal FC","2100000"
"Theo Walcott","Arsenal FC","Everton FC","22500000"
"Wojciech Szczesny","Arsenal FC","Juventus FC","12200000"
"Kieran Gibbs","Arsenal FC","West Bromwich Albion","7500000"
"Romelu Lukaku","Everton FC","Manchester United","84700000"
"Victor Lindelöf","SL Benfica","Manchester United","35000000"
"Gylfi Sigurdsson","Swansea City","Everton FC","49400000"
"Michael Keane","Burnley FC","Everton FC","28500000"
"Jordan Pickford","Sunderland AFC","Everton FC","28500000"
"Davy Klaassen","Ajax Amsterdam","Everton FC","27000000"
"Cenk Tosun","Besiktas JK","Everton FC","22500000"
"Nikola Vlasic","HNK Hajduk Split","Everton FC","10800000"
"Henry Onyekuru","KAS Eupen","Everton FC","8000000"
"Tom Cleverley","Everton FC","Watford FC","9300000"
"Aaron Lennon","Everton FC","Burnley FC","1700000"
"Gareth Barry","Everton FC","West Bromwich Albion","1100000"
"Aiden McGeady","Everton FC","Sunderland AFC","280000"
"Mario Lemina","Juventus FC","Southampton FC","17000000"
"Wesley Hoedt","SS Lazio","Southampton FC","16400000"
"Jan Bednarek","Lech Poznan","Southampton FC","6000000"
"Jay Rodríguez","Southampton FC","West Bromwich Albion","13700000"
"Yuning Zhang","Vitesse Arnhem","West Bromwich Albion","7200000"
"Ahmed Hegazy","El Ahly Cairo","West Bromwich Albion","5000000"
"Craig Gardner","West Bromwich Albion","Birmingham City","1750000"
"Marko Arnautovic","Stoke City","West Ham United","22300000"
"Jordan Hugill","Preston North End","West Ham United","10200000"
"Sead Haksabanovic","Halmstads BK","West Ham United","3000000"
"André Ayew","West Ham United","Swansea City","22800000"
"Ashley Fletcher","West Ham United","Middlesbrough FC","7300000"
"Darren Randolph","West Ham United","Middlesbrough FC","5600000"
"José Fonte","West Ham United","Dalian Yifang","5570000"
"Enner Valencia","West Ham United","Tigres UANL","5500000"
"Sofiane Feghouli","West Ham United","Galatasaray SK","4250000"
"Adrien Silva","Sporting CP","Leicester City","24500000"
"Harry Maguire","Hull City","Leicester City","13700000"
"Eldin Jakupovic","Hull City","Leicester City","2300000"
"Fousseni Diabaté","GFC Ajaccio","Leicester City","2000000"
"Sam Hughes","Chester FC","Leicester City","145000"
"Tom Lawrence","Leicester City","Derby County","5500000"
"Badou Ndiaye","Galatasaray SK","Stoke City","16000000"
"Bruno Martins Indi","FC Porto","Stoke City","7700000"
"Moritz Bauer","Rubin Kazan","Stoke City","6200000"
"Joselu","Stoke City","Newcastle United","5500000"
"Jonathan Walters","Stoke City","Burnley FC","2300000"
"Glenn Whelan","Stoke City","Aston Villa","1700000"
"Phil Bardsley","Stoke City","Burnley FC","840000"
"Jairo Riedewald","Ajax Amsterdam","Crystal Palace","9000000"
"Alexander Sörloth","FC Midtjylland","Crystal Palace","9000000"
"Jaroslaw Jach","Zaglebie Lubin","Crystal Palace","2750000"
"Sam Clucas","Hull City","Swansea City","16300000"
"Jack Cork","Swansea City","Burnley FC","9100000"
"Stephen Kingsley","Swansea City","Hull City","3300000"
"Bafétimbi Gomis","Swansea City","Galatasaray SK","2500000"
"Modou Barrow","Swansea City","Reading FC","1700000"
"Chris Wood","Leeds United","Burnley FC","16400000"
"Nahki Wells","Huddersfield Town","Burnley FC","5400000"
"Andre Gray","Burnley FC","Watford FC","20400000"
"Tendayi Darikwa","Burnley FC","Nottingham Forest","1100000"
"Richarlison","Fluminense Football Club","Watford FC","12400000"
"Will Hughes","Derby County","Watford FC","9100000"
"Dodi Lukebakio","RSC Charleroi","Watford FC","5000000"
"Pontus Dahlberg","IFK Göteborg","Watford FC","3900000"
"Marvin Zeegelaar","Sporting CP","Watford FC","3000000"
"Sven Kums","Watford FC","RSC Anderlecht","6500000"
"Steven Berghuis","Watford FC","Feyenoord Rotterdam","6500000"
"Uche Agbo","Watford FC","Standard Liège","2500000"
"Jacob Murphy","Norwich City","Newcastle United","11300000"
"Grant Hanley","Newcastle United","Norwich City","3800000"
"Daryl Murphy","Newcastle United","Nottingham Forest","2300000"
"Siem de Jong","Newcastle United","Ajax Amsterdam","2300000"
"Jürgen Locadia","PSV Eindhoven","Brighton & Hove Albion","17000000"
"José Izquierdo","Club Brugge KV","Brighton & Hove Albion","15000000"
"Davy Pröpper","PSV Eindhoven","Brighton & Hove Albion","13000000"
"Markus Suttner","FC Ingolstadt 04","Brighton & Hove Albion","4500000"
"Ezequiel Schelotto","Sporting CP","Brighton & Hove Albion","3000000"
"Pascal Groß","FC Ingolstadt 04","Brighton & Hove Albion","3000000"
"Ales Mateju","FC Viktoria Plzen","Brighton & Hove Albion","2500000"
"Soufyan Ahannach","Almere City FC","Brighton & Hove Albion","600000"
"Alex Pritchard","Norwich City","Huddersfield Town","12350000"
"Tom Ince","Derby County","Huddersfield Town","9100000"
"Scott Malone","Fulham FC","Huddersfield Town","3900000"
"Laurent Depoitre","FC Porto","Huddersfield Town","3800000"
"Zanka","FC Copenhagen","Huddersfield Town","2700000"
"Abdelhamid Sabiri","1.FC Nuremberg","Huddersfield Town","1500000"
"Elias Kachunga","FC Ingolstadt 04","Huddersfield Town","1300000"
"Kyle Dempsey","Huddersfield Town","Fleetwood Town","455000"
"Rúben Pinto","Os Belenenses SAD","CSKA Sofia","300000"
"Filip Krovinovic","Rio Ave FC","SL Benfica","3500000"
"Mile Svilar","RSC Anderlecht","SL Benfica","2500000"
"Martin Chrien","FC Viktoria Plzen","SL Benfica","1000000"
"João Amaral","Vitória Setúbal FC","SL Benfica","600000"
"Mato Milos","NK Istra 1961","SL Benfica","400000"
"Pedro Rebocho","Moreirense FC","SL Benfica","150000"
"Bruno Varela","Vitória Setúbal FC","SL Benfica","100000"
"Guillermo Celis","SL Benfica","Vitória Guimarães SC","1750000"
"Hany Mukhtar","SL Benfica","Bröndby IF","1500000"
"Daniel Candeias","SL Benfica","Rangers FC","800000"
"Lucas Tagliapietra","Boavista Porto FC","LDU Quito","500000"
"Raúl Silva","CS Marítimo","SC Braga","2000000"
"Fransérgio","CS Marítimo","SC Braga","1250000"
"Diogo Figueiras","Olympiacos Piraeus","SC Braga","1200000"
"Andrej Lukic","NK Osijek","SC Braga","1000000"
"Dyego Sousa","CS Marítimo","SC Braga","296000"
"Rui Fonte","SC Braga","Fulham FC","9130000"
"Rodrigo Battaglia","SC Braga","Sporting CP","4500000"
"Pedro Santos","SC Braga","Columbus Crew SC","2000000"
"Tomás Martínez","SC Braga","Houston Dynamo","1660000"
"Stephen Eustáquio","Leixões SC","GD Chaves","500000"
"Nikola Maras","FK Rad","GD Chaves","400000"
"Jefferson","HNK Hajduk Split","GD Chaves","350000"
"Aílton","Fluminense Football Club","GD Estoril Praia","310000"
"Allano Lima","Cruzeiro Esporte Clube","GD Estoril Praia","265000"
"Matheus Índio","Club de Regatas Vasco da Gama","GD Estoril Praia","175000"
"Matheus Jesus","Associação Atlética Ponte Preta","GD Estoril Praia","125000"
"Jonata","Clube de Regatas Brasil (AL)","GD Estoril Praia","75000"
"Eduardo","Fluminense Football Club","GD Estoril Praia","25000"
"Carlinhos","GD Estoril Praia","Standard Liège","2500000"
"Mattheus","GD Estoril Praia","Sporting CP","2000000"
"Diogo Amado","GD Estoril Praia","Al Gharafa Sports Club","550000"
"Vaná Alves","CD Feirense","FC Porto","1000000"
"Ibson","Ermis Aradippou","CS Marítimo","50000"
"Cauê","Moreirense FC","Omiya Ardija","750000"
"Gegé","FC Paços de Ferreira","Al-Feiha FC","500000"
"André Silva","FC Porto","AC Milan","38000000"
"Rúben Neves","FC Porto","Wolverhampton Wanderers","17900000"
"Lumor","Portimonense SC","Sporting CP","2500000"
"Gabrielzinho","Clube Atlético Linense (SP)","Rio Ave FC","800000"
"Roderick Miranda","Rio Ave FC","Wolverhampton Wanderers","3000000"
"Rúben Ribeiro","Rio Ave FC","Sporting CP","400000"
"William Jebor","Rio Ave FC","Al-Nassr FC","380000"
"Bruno Fernandes","UC Sampdoria","Sporting CP","9690000"
"Marcos Acuña","Racing Club","Sporting CP","9590000"
"Wendel","Fluminense Football Club","Sporting CP","7500000"
"Seydou Doumbia","AS Roma","Sporting CP","3000000"
"Josip Misic","HNK Rijeka","Sporting CP","2750000"
"Leonardo Acevedo","Atlético Nacional","Sporting CP","500000"
"Teófilo Gutiérrez","Sporting CP","Junior FC","1830000"
"Ewerton","Sporting CP","1.FC Nuremberg","850000"
"Oriol Rosell","Sporting CP","Orlando City SC","402000"
"Tomané","FC Arouca","CD Tondela","100000"
"Óscar Estupiñán","Once Caldas","Vitória Guimarães SC","2000000"
"Pedrão","Cianorte Futebol Clube (PR)","Vitória Guimarães SC","2000000"
"Sebastián Rincón","Club Atlético Tigre","Vitória Guimarães SC","1650000"
"Paolo Hurtado","Reading FC","Vitória Guimarães SC","500000"
"Bruno Gaspar","Vitória Guimarães SC","ACF Fiorentina","4000000"
"Josué Sá","Vitória Guimarães SC","RSC Anderlecht","2200000"
"Fábio Cardoso","Vitória Setúbal FC","Rangers FC","1500000"
"Rafa Silva","SC Braga","SL Benfica","16000000"
"Konstantinos Mitroglou","Fulham FC","SL Benfica","7000000"
"Franco Cervi","Club Atlético Rosario Central","SL Benfica","5700000"
"Oscar Benítez","Club Atlético Lanús","SL Benfica","4400000"
"Marcelo Hermes","Grêmio Foot-Ball Porto Alegrense","SL Benfica","2910000"
"Pedro Pereira","UC Sampdoria","SL Benfica","2660000"
"Guillermo Celis","Junior FC","SL Benfica","2300000"
"Filipe Augusto","Rio Ave FC","SL Benfica","2000000"
"Pedro Nuno","Académica Coimbra","SL Benfica","400000"
"André Horta","Vitória Setúbal FC","SL Benfica","400000"
"Hélder Costa","SL Benfica","Wolverhampton Wanderers","15000000"
"Nélson Oliveira","SL Benfica","Norwich City","5850000"
"Jorge Rojas","SL Benfica","Club Cerro Porteño","1000000"
"Alan Ruiz","Club Atlético San Lorenzo de Almagro","Sporting CP","4840000"
"Bruno Paulista","Esporte Clube Bahia","Sporting CP","3500000"
"Elias","Sport Club Corinthians Paulista","Sporting CP","2500000"
"Lukas Spalvis","Aalborg BK","Sporting CP","1610000"
"André","Sport Club Corinthians Paulista","Sporting CP","1000000"
"Douglas","Trabzonspor","Sporting CP","1000000"
"Radosav Petrovic","Dynamo Kyiv","Sporting CP","1000000"
"João Mário","Sporting CP","Inter Milan","40000000"
"Naldo","Sporting CP","FK Krasnodar","4500000"
"Elias","Sporting CP","Clube Atlético Mineiro","2500000"
"André","Sporting CP","Sport Club do Recife","1200000"
"Junya Tanaka","Sporting CP","Vissel Kobe","430000"
"João Pereira","Sporting CP","Trabzonspor","300000"
"Willy Boly","SC Braga","FC Porto","6500000"
"Alex Telles","Galatasaray SK","FC Porto","6500000"
"Felipe","Sport Club Corinthians Paulista","FC Porto","6200000"
"Laurent Depoitre","KAA Gent","FC Porto","6000000"
"Tiquinho Soares","Vitória Guimarães SC","FC Porto","5600000"
"Maicon","FC Porto","São Paulo Futebol Clube","12000000"
"Nabil Ghilas","FC Porto","Gaziantepspor","2000000"
"Silvestre Varela","FC Porto","Kayserispor","500000"
"Licá","FC Porto","Nottingham Forest","358000"
"Rafael Assis","GD Chaves","SC Braga","1420000"
"Tomás Martínez","Club Atlético River Plate","SC Braga","1300000"
"Marko Bakic","ACF Fiorentina","SC Braga","900000"
"Lazar Rosic","FK Vojvodina Novi Sad","SC Braga","750000"
"Paulinho","GD Chaves","SC Braga","350000"
"Wallace","SC Braga","SS Lazio","8000000"
"Stanislav Kritsyuk","SC Braga","FK Krasnodar","4000000"
"Felipe Pardo","SC Braga","Olympiacos Piraeus","1500000"
"Carlinhos","Atlético Monte Azul (SP)","GD Estoril Praia","180000"
"André Claro","Vitória Setúbal FC","GD Estoril Praia","100000"
"Léo Bonatini","GD Estoril Praia","Al-Hilal Riyadh","5500000"
"Anderson Esiti","GD Estoril Praia","KAA Gent","1500000"
"Gerso","Os Belenenses SAD","Sporting Kansas City","1500000"
"Rafael Martins","Levante UD","Vitória Guimarães SC","500000"
"Tiquinho Soares","Centro Sportivo Paraibano (PB)","Vitória Guimarães SC","500000"
"João Pedro","Vitória Guimarães SC","Los Angeles Galaxy","1450000"
"Nelson Bonilla","FK Zira","CD Nacional","100000"
"Ali Ghazal","CD Nacional","Guizhou Hengfeng","2600000"
"Boubacar Fofana","CD Nacional","Al-Ettifaq","300000"
"Rafael Batatinha","CD Santa Clara","GD Chaves","50000"
"Freire","GD Chaves","Shimizu S-Pulse","500000"
"Marten de Roon","Middlesbrough FC","Atalanta BC","13500000"
"Timothy Castagne","KRC Genk","Atalanta BC","6000000"
"Fabio Eguelfi","Inter Milan","Atalanta BC","6000000"
"Josip Ilicic","ACF Fiorentina","Atalanta BC","5500000"
"Etrit Berisha","SS Lazio","Atalanta BC","5000000"
"Federico Mattiello","Juventus FC","Atalanta BC","5000000"
"José Luis Palomino","PFK Ludogorets Razgrad","Atalanta BC","4000000"
"Andreas Cornelius","FC Copenhagen","Atalanta BC","3500000"
"Luca Vido","AC Milan","Atalanta BC","1000000"
"Matteo Pessina","AC Milan","Atalanta BC","1000000"
"Robin Gosens","Heracles Almelo","Atalanta BC","900000"
"Andrea Conti","Atalanta BC","AC Milan","24000000"
"Roberto Gagliardini","Atalanta BC","Inter Milan","20000000"
"Alessandro Bastoni","Atalanta BC","Inter Milan","8000000"
"Gianluca Di Chiara","AC Perugia Calcio","Benevento Calcio","2800000"
"Jean-Claude Billong","NK Maribor","Benevento Calcio","2100000"
"Samuel Armenteros","Heracles Almelo","Benevento Calcio","2000000"
"Gaetano Letizia","Carpi FC 1909","Benevento Calcio","1750000"
"Vid Belec","Carpi FC 1909","Benevento Calcio","1750000"
"Massimo Coda","US Salernitana 1919","Benevento Calcio","1700000"
"Andrea Costa","FC Empoli","Benevento Calcio","1500000"
"Raman Chibsah","US Sassuolo","Benevento Calcio","850000"
"Bright Gyamfi","Inter Milan","Benevento Calcio","280000"
"Andrew Gravillon","Benevento Calcio","Delfino Pescara 1936","3500000"
"Karamoko Cissé","Benevento Calcio","FC Bari 1908","200000"
"Saphir Taider","Inter Milan","Bologna FC 1909","4000000"
"Sebastien De Maio","RSC Anderlecht","Bologna FC 1909","2000000"
"Filip Helander","Hellas Verona","Bologna FC 1909","2000000"
"Giancarlo González","US Palermo","Bologna FC 1909","1500000"
"Nehuén Paz","Club Atlético Newell's Old Boys","Bologna FC 1909","800000"
"Filippo Romagna","Juventus FC","Cagliari Calcio","7600000"
"Senna Miangue","Inter Milan","Cagliari Calcio","3200000"
"Damir Ceter","Deportes Quindío","Cagliari Calcio","3200000"
"Paolo Faragò","Novara Calcio 1908","Cagliari Calcio","2300000"
"Gregory van der Wiel","Fenerbahce SK","Cagliari Calcio","1000000"
"Charalampos Lykogiannis","SK Sturm Graz","Cagliari Calcio","500000"
"Nicola Murru","Cagliari Calcio","UC Sampdoria","7000000"
"Dario Del Fabro","Cagliari Calcio","Juventus FC","4500000"
"Duje Cop","Cagliari Calcio","Standard Liège","3000000"
"Marco Borriello","Cagliari Calcio","SPAL 2013","1000000"
"Víctor Ibarbo","Cagliari Calcio","Sagan Tosu","500000"
"Marco Fossati","Cagliari Calcio","Hellas Verona","300000"
"Simone Colombi","Cagliari Calcio","Carpi FC 1909","275000"
"Luca Garritano","AC Cesena","Chievo Verona","1000000"
"Alejandro Rodríguez","AC Cesena","Chievo Verona","500000"
"Martin Valjent","Ternana Unicusano Calcio","Chievo Verona","500000"
"Pawel Jaroszynski","Cracovia Kraków","Chievo Verona","400000"
"Michele Rigione","AC Cesena","Chievo Verona","200000"
"Roberto Inglese","Chievo Verona","SSC Napoli","10000000"
"Paul-José Mpoku","Chievo Verona","Standard Liège","1800000"
"Ivan Provedel","Chievo Verona","FC Empoli","1200000"
"Tomasz Kupisz","Chievo Verona","AC Cesena","700000"
"Caleb Ekuban","Chievo Verona","Leeds United","560000"
"Raffaele Pucino","Chievo Verona","US Salernitana 1919","500000"
"Marco Calderoni","Chievo Verona","Novara Calcio 1908","500000"
"Emanuele Gatto","Chievo Verona","US Alessandria Calcio 1912","100000"
"Aristóteles Romero","Mineros de Guayana","FC Crotone","1500000"
"Giovanni Crociata","AC Milan","FC Crotone","450000"
"Oliver Kragl","Frosinone Calcio","FC Crotone","400000"
"Giovanni Simeone","Genoa CFC","ACF Fiorentina","15000000"
"Marco Benassi","Torino FC","ACF Fiorentina","10000000"
"Vitor Hugo","Sociedade Esportiva Palmeiras","ACF Fiorentina","8000000"
"Jordan Veretout","Aston Villa","ACF Fiorentina","7000000"
"Nikola Milenkovic","FK Partizan Belgrade","ACF Fiorentina","5100000"
"Carlos Sánchez","Aston Villa","ACF Fiorentina","3000000"
"Maximiliano Olivera","CA Peñarol","ACF Fiorentina","2500000"
"Petko Hristov","Slavia Sofia","ACF Fiorentina","1700000"
"Martin Graiciar","FC Slovan Liberec","ACF Fiorentina","1500000"
"Cyril Théréau","Udinese Calcio","ACF Fiorentina","1500000"
"Rafik Zekhnini","Odds BK","ACF Fiorentina","1500000"
"Gaetano Castrovilli","FC Bari 1908","ACF Fiorentina","1400000"
"Federico Bernardeschi","ACF Fiorentina","Juventus FC","40000000"
"Matías Vecino","ACF Fiorentina","Inter Milan","24000000"
"Borja Valero","ACF Fiorentina","Inter Milan","5500000"
"Ianis Hagi","ACF Fiorentina","FC Viitorul ","2000000"
"Hrvoje Milic","ACF Fiorentina","Olympiacos Piraeus","1500000"
"Ricardo Centurión","São Paulo Futebol Clube","Genoa CFC","5000000"
"Oscar Hiljemark","US Palermo","Genoa CFC","2500000"
"Petar Brlek","Wisla Kraków","Genoa CFC","2200000"
"Luca Rossettini","Torino FC","Genoa CFC","2000000"
"Jawad El Yamiq","Raja Club Athletic Casablanca","Genoa CFC","650000"
"Thomas Rodríguez","Club Atlético Banfield","Genoa CFC","600000"
"Stephane Omeonga","US Avellino 1912","Genoa CFC","500000"
"Ricardo Centurión","Genoa CFC","Racing Club","5700000"
"Lucas Orbán","Genoa CFC","Racing Club","2500000"
"Bruno Zuculini","Hellas Verona","Club Atlético River Plate","3250000"
"Ernesto Torregrossa","Hellas Verona","Brescia Calcio","900000"
"Martín Cáceres","Hellas Verona","SS Lazio","600000"
"Milan Skriniar","UC Sampdoria","Inter Milan","27000000"
"Gianluca Caprari","Inter Milan","UC Sampdoria","15000000"
"Juan Jesus","Inter Milan","AS Roma","8000000"
"Dodô","Inter Milan","UC Sampdoria","5500000"
"Federico Dimarco","Inter Milan","FC Sion","4000000"
"Gary Medel","Inter Milan","Besiktas JK","2500000"
"Caner Erkin","Inter Milan","Besiktas JK","750000"
"Mattia De Sciglio","AC Milan","Juventus FC","12000000"
"Rodrigo Bentancur","Club Atlético Boca Juniors","Juventus FC","10500000"
"Ferdinando Del Sole","Delfino Pescara 1936","Juventus FC","3700000"
"Matheus Pereira","FC Empoli","Juventus FC","2000000"
"Leonardo Mancuso","Delfino Pescara 1936","Juventus FC","2000000"
"Leonardo Bonucci","Juventus FC","AC Milan","42000000"
"Pol Lirola","Juventus FC","US Sassuolo","7000000"
"Francesco Cassata","Juventus FC","US Sassuolo","7000000"
"Mattia Vitale","Juventus FC","SPAL 2013","2000000"
"Cristian Bunino","Juventus FC","Delfino Pescara 1936","1650000"
"Simone Ganz","Juventus FC","Delfino Pescara 1936","1500000"
"Lorenzo Rosseti","Juventus FC","Ascoli Picchio","1000000"
"Francesco Margiotta","Juventus FC","FC Lausanne-Sport","1000000"
"Younes Bnou Marzouk","Juventus FC","FC Lugano","400000"
"Cristian Pasquato","Juventus FC","Legia Warszawa","250000"
"Vykintas Slivka","Juventus FC","Hibernian FC","100000"
"Adam Marusic","KV Oostende","SS Lazio","6500000"
"Francesco Orlando","Vicenza Calcio","SS Lazio","300000"
"Lucas Biglia","SS Lazio","AC Milan","17000000"
"Josip Elez","SS Lazio","HNK Rijeka","500000"
"Antonio Donnarumma","Asteras Tripolis","AC Milan","1500000"
"Juraj Kucka","AC Milan","Trabzonspor","5000000"
"José Sosa","AC Milan","Trabzonspor","3400000"
"Leonel Vangioni","AC Milan","CF Monterrey","1700000"
"Nikola Maksimovic","Torino FC","SSC Napoli","20000000"
"Marko Rog","GNK Dinamo Zagreb","SSC Napoli","13000000"
"Mário Rui","AS Roma","SSC Napoli","5500000"
"Ivan Strinic","SSC Napoli","UC Sampdoria","2000000"
"Eddy Gnahoré","SSC Napoli","US Palermo","1500000"
"Raffaele Maiello","SSC Napoli","Frosinone Calcio","1200000"
"Rick Karsdorp","Feyenoord Rotterdam","AS Roma","14000000"
"Cengiz Ünder","Basaksehir ","AS Roma","13400000"
"Bruno Peres","Torino FC","AS Roma","12500000"
"Lorenzo Pellegrini","US Sassuolo","AS Roma","10000000"
"Mário Rui","FC Empoli","AS Roma","6000000"
"Héctor Moreno","PSV Eindhoven","AS Roma","5700000"
"Leandro Paredes","AS Roma","Zenit St. Petersburg","23000000"
"Riccardo Marchizza","AS Roma","US Sassuolo","4500000"
"Davide Frattesi","AS Roma","US Sassuolo","3000000"
"Nemanja Radonjic","AS Roma","Red Star Belgrade","3000000"
"Federico Ricci","AS Roma","US Sassuolo","3000000"
"William Vainqueur","AS Roma","Antalyaspor","500000"
"Gastón Ramírez","Middlesbrough FC","UC Sampdoria","9000000"
"Bruno Fernandes","Udinese Calcio","UC Sampdoria","6000000"
"Dawid Kownacki","Lech Poznan","UC Sampdoria","4000000"
"Joachim Andersen","FC Twente Enschede","UC Sampdoria","1400000"
"Jakub Hromada","UC Sampdoria","SK Slavia Prag","500000"
"Edoardo Goldaniga","US Palermo","US Sassuolo","4000000"
"Felipe","Udinese Calcio","SPAL 2013","1000000"
"Everton Luiz","FK Partizan Belgrade","SPAL 2013","700000"
"Pa Konate","Malmö FF","SPAL 2013","300000"
"Sauli Väisänen","AIK Solna","SPAL 2013","200000"
"Thiago Cionek","US Palermo","SPAL 2013","150000"
"Luca Mora","SPAL 2013","Spezia Calcio","250000"
"Lyanco","São Paulo Futebol Clube","Torino FC","7000000"
"Álex Berenguer","CA Osasuna","Torino FC","5500000"
"Vanja Milinković-Savić","Lechia Gdansk","Torino FC","2600000"
"Vitalie Damascan","Sheriff Tiraspol","Torino FC","1500000"
"Pontus Jansson","Torino FC","Leeds United","4000000"
"Gastón Silva","Torino FC","Club Atlético Independiente","1400000"
"Panagiotis Tachtsidis","Torino FC","Olympiacos Piraeus","700000"
"Marco Chiosa","Torino FC","Novara Calcio 1908","500000"
